"item_id","initially_scraped","user_id","title","currency_symbol","price","description","brand","label","size","gender","color1","status","photos","catalog_id","url","reserved_for_user_id","favourites","view_count","is_admin_alerted","active_bid_count"
"2169097894","2022-09-27 13:20:37.309401","79562987","Super cooles Mesh langarm Top mit Hackenverschlusse vorne ","€","69.00 ","Dursichtig, vorne doppellagig und blickdicht. Mit Rüschen an den Ärmeln 😍 super stretchy! 

!!VERSENDE AM NÄCHSTEN TAG!!


mehrere Artikel Kaufen = Rabatt bekommen:)

Antworte alle Fragen!

corsage korsage korsett negligee dessous valentinstag valentines day spagegttitop vintagetop vintagecorsage vintagekorsett 3 maria berlin berlinstyle crop spitze spitzentop lingerie unterwäsche sexy cute transparent jordan uo princess mini sommer euphoria rue jules maddy tiktok angel angelic bratz barbie doll mall fairy fee cottage suisses cottagecore milkmaid low rise cargo prom bimbo feminin goth grunge deconstructed  coquette dollette dollz demonic goth mallgoth abiballkleid abschluss 

","Vintage","Vintage","M / 38 / 10","male","Brown","Very good","x","225","https://www.vinted.de/women/clothes/tops-and-t-shirts/three-fourths-sleeve-tops/2169097894-super-cooles-mesh-langarm-top-mit-hackenverschlusse-vorne",,"62","360","False","1"
"2243935649","2022-09-27 13:20:37.309418","79562987","Langarm corset Stil top mit spitze und Schnürung vorne ","€","45.00 ","Stretchy 

!!VERSENDE AM NÄCHSTEN TAG!!

mehrere Artikel Kaufen = Rabatt bekommen:)

Antworte alle Fragen!

corsage korsage korsett negligee dessous valentinstag valentines day spagegttitop vintagetop vintagecorsage vintagekorsett 3 maria berlin berlinstyle crop spitze spitzentop lingerie unterwäsche sexy cute transparent jordan uo princess mini sommer euphoria rue jules maddy tiktok angel angelic bratz barbie doll mall fairy fee cottage suisses cottagecore milkmaid low rise cargo prom bimbo feminin goth grunge deconstructed  coquette dollette dollz demonic goth mallgoth abiballkleid abschluss","Vintage","Vintage","M / 38 / 10","male","Black","Very good","x","224","https://www.vinted.de/women/clothes/tops-and-t-shirts/long-sleeved-tops/2243935649-langarm-corset-stil-top-mit-spitze-und-schnurung-vorne",,"5","80","False","0"
"2243901304","2022-09-27 13:20:37.309425","79562987","Vintage creme spitzen Corset top","€","49.00 ","70B, wie neu


!!VERSENDE AM NÄCHSTEN TAG!!

mehrere Artikel Kaufen = Rabatt bekommen:)

Antworte alle Fragen!

corsage korsage korsett negligee dessous valentinstag valentines day spagegttitop vintagetop vintagecorsage vintagekorsett 3 maria berlin berlinstyle crop spitze spitzentop lingerie unterwäsche sexy cute transparent jordan uo princess mini sommer euphoria rue jules maddy tiktok angel angelic bratz barbie doll mall fairy fee cottage suisses cottagecore milkmaid low rise cargo prom bimbo feminin goth grunge deconstructed  coquette dollette dollz demonic goth mallgoth abiballkleid abschluss","Vintage","Vintage","XS / 34 / 6","male","White","Very good","x","1041","https://www.vinted.de/women/clothes/tops-and-t-shirts/crop-tops/2243901304-vintage-creme-spitzen-corset-top",,"13","79","False","0"
"2231614543","2022-09-27 13:20:37.309431","79562987","Rosa Mesh top mit bügel ","€","19.00 ","Durchsichtig

!!VERSENDE AM NÄCHSTEN TAG!!

mehrere Artikel Kaufen = Rabatt bekommen:)

Antworte alle Fragen!

corsage korsage korsett negligee dessous valentinstag valentines day spagegttitop vintagetop vintagecorsage vintagekorsett 3 maria berlin berlinstyle crop spitze spitzentop lingerie unterwäsche sexy cute transparent jordan uo princess mini sommer euphoria rue jules maddy tiktok angel angelic bratz barbie doll mall fairy fee cottage suisses cottagecore milkmaid low rise cargo prom bimbo feminin goth grunge deconstructed  coquette dollette dollz demonic goth mallgoth abiballkleid abschluss","Vintage","Vintage","M / 38 / 10","male","Rose","Very good","x","14","https://www.vinted.de/women/clothes/tops-and-t-shirts/camis/2231614543-rosa-mesh-top-mit-bugel",,"32","115","False","1"
"2230772237","2022-09-27 13:20:37.309436","79562987","Süßes Cami top cottagecore s/m","€","19.00 ","Bisschen durchsichtig 


!!VERSENDE AM NÄCHSTEN TAG!!

mehrere Artikel Kaufen = Rabatt bekommen:)

Antworte alle Fragen!

corsage korsage korsett negligee dessous valentinstag valentines day spagegttitop vintagetop vintagecorsage vintagekorsett 3 maria berlin berlinstyle crop spitze spitzentop lingerie unterwäsche sexy cute transparent jordan uo princess mini sommer euphoria rue jules maddy tiktok angel angelic bratz barbie doll mall fairy fee cottage suisses cottagecore milkmaid low rise cargo prom bimbo feminin goth grunge deconstructed  coquette dollette dollz demonic goth mallgoth abiballkleid abschluss","Vintage","Vintage","S / 36 / 8","male","Beige","Very good","x","14","https://www.vinted.de/women/clothes/tops-and-t-shirts/camis/2230772237-susses-cami-top-cottagecore-sm",,"10","57","False","1"
"2228313117","2022-09-27 13:20:37.309442","79562987","Vintage elastisches Top mit eckigen Ausschnitt ","€","29.00 ","Nicht gecropped, M 

!!VERSENDE AM NÄCHSTEN TAG!!

mehrere Artikel Kaufen = Rabatt bekommen:)

Antworte alle Fragen!

corsage korsage korsett negligee dessous valentinstag valentines day spagegttitop vintagetop vintagecorsage vintagekorsett 3 maria berlin berlinstyle crop spitze spitzentop lingerie unterwäsche sexy cute transparent jordan uo princess mini sommer euphoria rue jules maddy tiktok angel angelic bratz barbie doll mall fairy fee cottage suisses cottagecore milkmaid low rise cargo prom bimbo feminin goth grunge deconstructed  coquette dollette dollz demonic goth mallgoth abiballkleid abschluss","Vintage","Vintage","M / 38 / 10","male","Gold","Very good","x","14","https://www.vinted.de/women/clothes/tops-and-t-shirts/camis/2228313117-vintage-elastisches-top-mit-eckigen-ausschnitt",,"3","56","False","0"
"2227590009","2022-09-27 13:20:37.309446","79562987","Rosa Mesh corset top mit Erdbeeren, Schnürung an den Seiten","€","49.00 ","Durchsichtig, stretchy, die Größe ist sehr gut verstellbar 


!!VERSENDE AM NÄCHSTEN TAG!!

mehrere Artikel Kaufen = Rabatt bekommen:)

Antworte alle Fragen!

corsage korsage korsett negligee dessous valentinstag valentines day spagegttitop vintagetop vintagecorsage vintagekorsett 3 maria berlin berlinstyle crop spitze spitzentop lingerie unterwäsche sexy cute transparent jordan uo princess mini sommer euphoria rue jules maddy tiktok angel angelic bratz barbie doll mall fairy fee cottage suisses cottagecore milkmaid low rise cargo prom bimbo feminin goth grunge deconstructed  coquette dollette dollz demonic goth mallgoth abiballkleid abschluss","Vintage","Vintage","S / 36 / 8","male","Pink","Very good","x","1041","https://www.vinted.de/women/clothes/tops-and-t-shirts/crop-tops/2227590009-rosa-mesh-corset-top-mit-erdbeeren-schnurung-an-den-seiten",,"22","155","False","0"
"2211809195","2022-09-27 13:20:37.309451","79562987","Blaues Mesh cami top s/m","€","19.00 ","!!VERSENDE AM NÄCHSTEN TAG!!

mehrere Artikel Kaufen = Rabatt bekommen:)

Antworte alle Fragen!

corsage korsage korsett negligee dessous valentinstag valentines day spagegttitop vintagetop vintagecorsage vintagekorsett 3 maria berlin berlinstyle crop spitze spitzentop lingerie unterwäsche sexy cute transparent jordan uo princess mini sommer euphoria rue jules maddy tiktok angel angelic bratz barbie doll mall fairy fee cottage suisses cottagecore milkmaid low rise cargo prom bimbo feminin goth grunge deconstructed  coquette dollette dollz demonic goth mallgoth abiballkleid abschluss","Vintage","Vintage","S / 36 / 8","male","Blue","Very good","x","14","https://www.vinted.de/women/clothes/tops-and-t-shirts/camis/2211809195-blaues-mesh-cami-top-sm",,"10","92","False","0"
"2211363636","2022-09-27 13:20:37.309456","79562987","Super süßes rosa.mesh top ","€","29.00 ","Dursichtig, nicht gecropped

!!VERSENDE AM NÄCHSTEN TAG!!

mehrere Artikel Kaufen = Rabatt bekommen:)

Antworte alle Fragen!

corsage korsage korsett negligee dessous valentinstag valentines day spagegttitop vintagetop vintagecorsage vintagekorsett 3 maria berlin berlinstyle crop spitze spitzentop lingerie unterwäsche sexy cute transparent jordan uo princess mini sommer euphoria rue jules maddy tiktok angel angelic bratz barbie doll mall fairy fee cottage suisses cottagecore milkmaid low rise cargo prom bimbo feminin goth grunge deconstructed  coquette dollette dollz demonic goth mallgoth abiballkleid abschluss
","Vintage","Vintage","M / 38 / 10","male","Rose","Very good","x","14","https://www.vinted.de/women/clothes/tops-and-t-shirts/camis/2211363636-super-susses-rosamesh-top",,"34","117","False","0"
"2209248437","2022-09-27 13:20:37.309462","79562987","90er Maxi Kleid mit mesh Oberlage mir Rosen,  rot und schwarz","€","49.00 ","Leider hat eine 'Kratze' im Mesh, sehe Fotos, aber das Kleid kann beiderseitig getragen werden, und ich hab die Kratzen immer hinten getragen 

!!VERSENDE AM NÄCHSTEN TAG!!

mehrere Artikel Kaufen = Rabatt bekommen:)

Antworte alle Fragen!

corsage korsage korsett negligee dessous valentinstag valentines day spagegttitop vintagetop vintagecorsage vintagekorsett 3 maria berlin berlinstyle crop spitze spitzentop lingerie unterwäsche sexy cute transparent jordan uo princess mini sommer euphoria rue jules maddy tiktok angel angelic bratz barbie doll mall fairy fee cottage suisses cottagecore milkmaid low rise cargo prom bimbo feminin goth grunge deconstructed  coquette dollette dollz demonic goth mallgoth abiballkleid abschluss","true vintage","true vintage","S / 36 / 8","male","Black","Very good","x","1055","https://www.vinted.de/women/clothes/dresses/long-dresses/2209248437-90er-maxi-kleid-mit-mesh-oberlage-mir-rosen-rot-und-schwarz",,"125","573","False","2"
